City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mutuali,-14.8706,37.0044,30.64,30,100,1.18,MZ,1731436869
83,ares,-6.1944,-35.1603,28.28,59,14,5.46,BR,1731436870
84,puerto natales,-51.7236,-72.4875,16.25,77,75,1.54,CL,1731436871
85,port elizabeth,-33.918,25.5701,18.51,90,75,11.32,ZA,1731436872
86,acarau,-2.8856,-40.12,28.76,61,6,6.87,BR,1731436873
87,petropavlovka,50.6114,105.3196,-5.32,78,87,3.05,RU,1731436874
88,zhob,31.3411,69.4481,13.88,23,6,0.89,PK,1731436876
89,hassleholm,56.1591,13.7664,4.64,83,100,1.93,SE,1731436877
90,mar del plata,-38.0023,-57.5575,19.18,64,90,5.36,AR,1731436878
91,kavaratti,10.5669,72.642,28.79,71,98,4.63,IN,1731436880
92,lihue,21.9789,-159.3672,25.77,73,20,7.2,US,1731436719
93,danilovka,50.3557,44.1168,0.03,76,19,1.21,RU,1731436882
94,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,53,20,4.0,RU,1731436729
95,glace bay,46.1969,-59.957,9.25,99,100,1.34,CA,1731436884
96,arauca,7.0847,-70.7591,32.98,62,75,1.87,CO,1731436886
97,chibougamau,49.9168,-74.3659,-2.21,69,75,5.66,CA,1731436887
98,swakopmund,-22.6833,14.5333,15.55,83,38,2.24,NA,1731436888
99,i-n-salah,27.1935,2.4607,21.64,29,99,2.34,DZ,1731436889
100,hawaiian paradise park,19.5933,-154.9731,22.63,97,75,3.09,US,1731436604
101,tralee,52.2704,-9.7026,8.14,100,20,0.51,IE,1731436891
102,lensk,60.7253,114.9278,-14.04,99,93,1.52,RU,1731436892
103,jamestown,42.097,-79.2353,7.79,53,40,2.06,US,1731436893
104,sinabang,2.4803,96.3801,25.97,85,100,1.49,ID,1731436894
105,iyidere,41.0119,40.3619,11.74,83,0,2.17,TR,1731436896
106,fortaleza,-3.7227,-38.5247,30.07,62,20,6.69,BR,1731436626
107,juneau,58.3019,-134.4197,4.12,97,100,0.0,US,1731436898
108,ilulissat,69.2167,-51.1,-4.99,93,40,1.54,GL,1731436900
109,port mathurin,-19.6833,63.4167,24.54,79,0,8.1,MU,1731436902
110,youhao,47.8667,128.8333,-6.26,89,66,0.97,CN,1731436903
111,callao,-12.0667,-77.15,21.16,68,100,4.12,PE,1731436905
112,carnarvon,-24.8667,113.6333,21.79,75,100,7.59,AU,1731436906
113,broken hill,-31.95,141.4333,16.18,70,0,9.83,AU,1731436907
114,martapura,-3.4167,114.85,25.05,100,40,0.51,ID,1731436908
115,bozoum,6.3193,16.3799,24.7,65,70,1.2,CF,1731436909
116,trinidad,-14.8333,-64.9,19.99,100,100,5.14,BO,1731436910
117,uzgen,40.7699,73.3007,6.72,63,100,0.72,KG,1731436911
